level,scname,socrname,kod_t_st,
5,тер. ТСЖ,Территория ТСЖ,991,
5,тер. ТСН,Территория ТСН,928,
5,тер.ф.х.,Территория ФХ,929,
5,тракт,Тракт,527,
5,туп,Тупик,528,
5,ул,Улица,529,
2,у,Улус,202,
4,у,Улус,434,
5,ус.,Усадьба,930,
5,уч-к,Участок,530,
5,ферма,Ферма,569,
5,ф/х,Фермерское хозяйство,589,
4,х,Хутор,435,
5,х,Хутор,558,
1,Чувашия,Чувашия,108,
6,шахта,Шахта,612,
5,ш,Шоссе,531,
5,ю.,Юрты,931,
4,ж/д_оп,ж/д останов. (обгонный) пункт,410,
5,ж/д_оп,ж/д останов. (обгонный) пункт,539,
